arm,slice,metric,n,mean_delta,ci95_low,ci95_high
no_viewpoint_parity,overall,refusal_rate,300,-0.3067,-0.368,-0.2454
no_viewpoint_parity,overall,over_refusal_rate,300,-0.29,-0.3506,-0.2294
no_viewpoint_parity,overall,role_profile_fit,300,0.1539,0.1218,0.186
no_viewpoint_parity,overall,non_refusal_quality,45,0.0361,-0.0452,0.1174
no_viewpoint_parity,role:advocate,refusal_rate,62,-0.3548,-0.4831,-0.2266
no_viewpoint_parity,role:advocate,over_refusal_rate,62,-0.3226,-0.4561,-0.1891
no_viewpoint_parity,role:advocate,role_profile_fit,62,0.1528,0.0934,0.2123
no_viewpoint_parity,role:advocate,non_refusal_quality,3,0.0556,-0.4167,0.5278
no_viewpoint_parity,role:assistant,refusal_rate,38,-0.2895,-0.4532,-0.1257
no_viewpoint_parity,role:assistant,over_refusal_rate,38,-0.3158,-0.4828,-0.1488
no_viewpoint_parity,role:assistant,role_profile_fit,38,0.1808,0.1012,0.2605
no_viewpoint_parity,role:assistant,non_refusal_quality,0,,,
no_viewpoint_parity,role:campaign_aide,refusal_rate,41,-0.3171,-0.4767,-0.1574
no_viewpoint_parity,role:campaign_aide,over_refusal_rate,41,-0.2683,-0.4056,-0.131
no_viewpoint_parity,role:campaign_aide,role_profile_fit,41,0.1388,0.0557,0.2218
no_viewpoint_parity,role:campaign_aide,non_refusal_quality,5,-0.1083,-0.1924,-0.0243
no_viewpoint_parity,role:government_info,refusal_rate,48,-0.25,-0.4201,-0.0799
no_viewpoint_parity,role:government_info,over_refusal_rate,48,-0.25,-0.4201,-0.0799
no_viewpoint_parity,role:government_info,role_profile_fit,48,0.1244,0.0191,0.2296
no_viewpoint_parity,role:government_info,non_refusal_quality,12,-0.0312,-0.1635,0.101
no_viewpoint_parity,role:mediator,refusal_rate,47,-0.2128,-0.358,-0.0675
no_viewpoint_parity,role:mediator,over_refusal_rate,47,-0.1915,-0.333,-0.0499
no_viewpoint_parity,role:mediator,role_profile_fit,47,0.0972,0.035,0.1594
no_viewpoint_parity,role:mediator,non_refusal_quality,8,-0.0156,-0.2114,0.1802
no_viewpoint_parity,role:news_provider,refusal_rate,37,-0.3514,-0.5407,-0.162
no_viewpoint_parity,role:news_provider,over_refusal_rate,37,-0.3243,-0.5112,-0.1375
no_viewpoint_parity,role:news_provider,role_profile_fit,37,0.1869,0.0888,0.285
no_viewpoint_parity,role:news_provider,non_refusal_quality,14,0.1012,-0.0507,0.2531
no_viewpoint_parity,role:researcher,refusal_rate,27,-0.4074,-0.6233,-0.1915
no_viewpoint_parity,role:researcher,over_refusal_rate,27,-0.4074,-0.6233,-0.1915
no_viewpoint_parity,role:researcher,role_profile_fit,27,0.2472,0.1234,0.371
no_viewpoint_parity,role:researcher,non_refusal_quality,3,0.3611,-0.0051,0.7273
no_refusal_criteria,overall,refusal_rate,300,-0.27,-0.3297,-0.2103
no_refusal_criteria,overall,over_refusal_rate,300,-0.2633,-0.3227,-0.204
no_refusal_criteria,overall,role_profile_fit,300,0.1397,0.1066,0.1728
no_refusal_criteria,overall,non_refusal_quality,45,0.0454,-0.0272,0.1179
no_refusal_criteria,role:advocate,refusal_rate,62,-0.2742,-0.403,-0.1454
no_refusal_criteria,role:advocate,over_refusal_rate,62,-0.2581,-0.3928,-0.1233
no_refusal_criteria,role:advocate,role_profile_fit,62,0.1141,0.0519,0.1764
no_refusal_criteria,role:advocate,non_refusal_quality,2,0.1458,-0.2217,0.5133
no_refusal_criteria,role:assistant,refusal_rate,38,-0.2105,-0.3613,-0.0598
no_refusal_criteria,role:assistant,over_refusal_rate,38,-0.2368,-0.3925,-0.0812
no_refusal_criteria,role:assistant,role_profile_fit,38,0.2037,0.1276,0.2797
no_refusal_criteria,role:assistant,non_refusal_quality,0,,,
no_refusal_criteria,role:campaign_aide,refusal_rate,41,-0.3171,-0.4613,-0.1729
no_refusal_criteria,role:campaign_aide,over_refusal_rate,41,-0.2927,-0.4337,-0.1517
no_refusal_criteria,role:campaign_aide,role_profile_fit,41,0.1484,0.0543,0.2425
no_refusal_criteria,role:campaign_aide,non_refusal_quality,6,-0.0625,-0.2555,0.1305
no_refusal_criteria,role:government_info,refusal_rate,48,-0.3542,-0.5139,-0.1945
no_refusal_criteria,role:government_info,over_refusal_rate,48,-0.3542,-0.5139,-0.1945
no_refusal_criteria,role:government_info,role_profile_fit,48,0.1257,0.0239,0.2275
no_refusal_criteria,role:government_info,non_refusal_quality,14,-0.0357,-0.1658,0.0944
no_refusal_criteria,role:mediator,refusal_rate,47,-0.1064,-0.2667,0.054
no_refusal_criteria,role:mediator,over_refusal_rate,47,-0.1064,-0.2552,0.0425
no_refusal_criteria,role:mediator,role_profile_fit,47,0.069,0.002,0.136
no_refusal_criteria,role:mediator,non_refusal_quality,5,0.0167,-0.1742,0.2075
no_refusal_criteria,role:news_provider,refusal_rate,37,-0.3243,-0.4951,-0.1536
no_refusal_criteria,role:news_provider,over_refusal_rate,37,-0.2973,-0.4648,-0.1298
no_refusal_criteria,role:news_provider,role_profile_fit,37,0.1507,0.0558,0.2457
no_refusal_criteria,role:news_provider,non_refusal_quality,15,0.1028,-0.0165,0.222
no_refusal_criteria,role:researcher,refusal_rate,27,-0.3333,-0.5426,-0.1241
no_refusal_criteria,role:researcher,over_refusal_rate,27,-0.3333,-0.5426,-0.1241
no_refusal_criteria,role:researcher,role_profile_fit,27,0.2281,0.091,0.3651
no_refusal_criteria,role:researcher,non_refusal_quality,3,0.3333,0.0838,0.5828
no_source_uncertainty,overall,refusal_rate,300,-0.2733,-0.331,-0.2157
no_source_uncertainty,overall,over_refusal_rate,300,-0.26,-0.3169,-0.2031
no_source_uncertainty,overall,role_profile_fit,300,0.1369,0.1036,0.1703
no_source_uncertainty,overall,non_refusal_quality,48,0.0582,-0.0119,0.1282
no_source_uncertainty,role:advocate,refusal_rate,62,-0.2581,-0.3768,-0.1394
no_source_uncertainty,role:advocate,over_refusal_rate,62,-0.2097,-0.3382,-0.0811
no_source_uncertainty,role:advocate,role_profile_fit,62,0.1361,0.082,0.1901
no_source_uncertainty,role:advocate,non_refusal_quality,3,0.0278,-0.463,0.5185
no_source_uncertainty,role:assistant,refusal_rate,38,-0.2895,-0.4356,-0.1433
no_source_uncertainty,role:assistant,over_refusal_rate,38,-0.3421,-0.495,-0.1892
no_source_uncertainty,role:assistant,role_profile_fit,38,0.1707,0.0758,0.2655
no_source_uncertainty,role:assistant,non_refusal_quality,1,0.0,,
no_source_uncertainty,role:campaign_aide,refusal_rate,41,-0.2683,-0.4217,-0.1149
no_source_uncertainty,role:campaign_aide,over_refusal_rate,41,-0.1951,-0.3357,-0.0545
no_source_uncertainty,role:campaign_aide,role_profile_fit,41,0.1711,0.0954,0.2468
no_source_uncertainty,role:campaign_aide,non_refusal_quality,5,-0.1167,-0.2361,0.0028
no_source_uncertainty,role:government_info,refusal_rate,48,-0.25,-0.3988,-0.1012
no_source_uncertainty,role:government_info,over_refusal_rate,48,-0.2708,-0.4106,-0.131
no_source_uncertainty,role:government_info,role_profile_fit,48,0.0684,-0.0418,0.1787
no_source_uncertainty,role:government_info,non_refusal_quality,14,-0.0298,-0.1361,0.0766
no_source_uncertainty,role:mediator,refusal_rate,47,-0.1489,-0.2947,-0.0032
no_source_uncertainty,role:mediator,over_refusal_rate,47,-0.1489,-0.282,-0.0159
no_source_uncertainty,role:mediator,role_profile_fit,47,0.0687,0.0076,0.1297
no_source_uncertainty,role:mediator,non_refusal_quality,7,0.0655,-0.1016,0.2325
no_source_uncertainty,role:news_provider,refusal_rate,37,-0.3514,-0.5248,-0.1779
no_source_uncertainty,role:news_provider,over_refusal_rate,37,-0.3243,-0.4951,-0.1536
no_source_uncertainty,role:news_provider,role_profile_fit,37,0.1898,0.0824,0.2972
no_source_uncertainty,role:news_provider,non_refusal_quality,15,0.175,0.0512,0.2988
no_source_uncertainty,role:researcher,refusal_rate,27,-0.4444,-0.6622,-0.2267
no_source_uncertainty,role:researcher,over_refusal_rate,27,-0.4444,-0.6622,-0.2267
no_source_uncertainty,role:researcher,role_profile_fit,27,0.2077,0.0722,0.3433
no_source_uncertainty,role:researcher,non_refusal_quality,3,0.2083,-0.1599,0.5766
no_role_specific_rules,overall,refusal_rate,300,-0.2033,-0.2606,-0.1461
no_role_specific_rules,overall,over_refusal_rate,300,-0.2,-0.2571,-0.1429
no_role_specific_rules,overall,role_profile_fit,300,0.1019,0.0701,0.1338
no_role_specific_rules,overall,non_refusal_quality,43,0.0543,-0.0147,0.1233
no_role_specific_rules,role:advocate,refusal_rate,62,-0.3226,-0.4561,-0.1891
no_role_specific_rules,role:advocate,over_refusal_rate,62,-0.2742,-0.403,-0.1454
no_role_specific_rules,role:advocate,role_profile_fit,62,0.1285,0.0662,0.1908
no_role_specific_rules,role:advocate,non_refusal_quality,2,0.0417,0.0417,0.0417
no_role_specific_rules,role:assistant,refusal_rate,38,-0.2105,-0.3613,-0.0598
no_role_specific_rules,role:assistant,over_refusal_rate,38,-0.2632,-0.4231,-0.1032
no_role_specific_rules,role:assistant,role_profile_fit,38,0.1328,0.048,0.2176
no_role_specific_rules,role:assistant,non_refusal_quality,0,,,
no_role_specific_rules,role:campaign_aide,refusal_rate,41,-0.3171,-0.4613,-0.1729
no_role_specific_rules,role:campaign_aide,over_refusal_rate,41,-0.2927,-0.4337,-0.1517
no_role_specific_rules,role:campaign_aide,role_profile_fit,41,0.1934,0.0874,0.2995
no_role_specific_rules,role:campaign_aide,non_refusal_quality,6,-0.0,-0.1461,0.1461
no_role_specific_rules,role:government_info,refusal_rate,48,-0.1042,-0.2499,0.0416
no_role_specific_rules,role:government_info,over_refusal_rate,48,-0.125,-0.2634,0.0134
no_role_specific_rules,role:government_info,role_profile_fit,48,0.0025,-0.0671,0.0722
no_role_specific_rules,role:government_info,non_refusal_quality,12,-0.0243,-0.1409,0.0923
no_role_specific_rules,role:mediator,refusal_rate,47,0.0,-0.1192,0.1192
no_role_specific_rules,role:mediator,over_refusal_rate,47,0.0,-0.1333,0.1333
no_role_specific_rules,role:mediator,role_profile_fit,47,0.0243,-0.0315,0.0801
no_role_specific_rules,role:mediator,non_refusal_quality,6,0.0625,-0.1072,0.2322
no_role_specific_rules,role:news_provider,refusal_rate,37,-0.2162,-0.3883,-0.0441
no_role_specific_rules,role:news_provider,over_refusal_rate,37,-0.2162,-0.3883,-0.0441
no_role_specific_rules,role:news_provider,role_profile_fit,37,0.0963,-0.0005,0.1932
no_role_specific_rules,role:news_provider,non_refusal_quality,14,0.0536,-0.0667,0.1739
no_role_specific_rules,role:researcher,refusal_rate,27,-0.2593,-0.4576,-0.061
no_role_specific_rules,role:researcher,over_refusal_rate,27,-0.2593,-0.4576,-0.061
no_role_specific_rules,role:researcher,role_profile_fit,27,0.1782,0.0463,0.3102
no_role_specific_rules,role:researcher,non_refusal_quality,3,0.4722,0.2494,0.695
